movie_id:string:START_ID,:START_LABEL,category_id:string:END_ID,:END_LABEL,:TYPE,year:string
"25746375","movie","剧情","category","BELONGS","2015.0"
"25746375","movie","喜剧","category","BELONGS","2015.0"
"5446197","movie","剧情","category","BELONGS","2015.0"
"5446197","movie","动作","category","BELONGS","2015.0"
"5446197","movie","运动","category","BELONGS","2015.0"
"25885212","movie","剧情","category","BELONGS","2015.0"
"25885212","movie","喜剧","category","BELONGS","2015.0"
"25728581","movie","奇幻","category","BELONGS","2014.0"
"25728581","movie","冒险","category","BELONGS","2014.0"
"5156558","movie","剧情","category","BELONGS","2015.0"
"5156558","movie","科幻","category","BELONGS","2015.0"
"5156558","movie","惊悚","category","BELONGS","2015.0"
"24325815","movie","科幻","category","BELONGS","2015.0"
"24325815","movie","悬疑","category","BELONGS","2015.0"
"24325815","movie","惊悚","category","BELONGS","2015.0"
"25922902","movie","剧情","category","BELONGS","2015.0"
"25738406","movie","剧情","category","BELONGS","2014.0"
"25738406","movie","音乐","category","BELONGS","2014.0"
"25767747","movie","历史","category","BELONGS","2015.0"
"25767747","movie","奇幻","category","BELONGS","2015.0"
"25823840","movie","剧情","category","BELONGS","2015.0"
"25823840","movie","情色","category","BELONGS","2015.0"
"25823840","movie","古装","category","BELONGS","2015.0"
"10533913","movie","喜剧","category","BELONGS","2015.0"
"10533913","movie","动画","category","BELONGS","2015.0"
"10533913","movie","冒险","category","BELONGS","2015.0"
"25814707","movie","剧情","category","BELONGS","2015.0"
"10773239","movie","剧情","category","BELONGS","2015.0"
"10773239","movie","喜剧","category","BELONGS","2015.0"
"10773239","movie","战争","category","BELONGS","2015.0"
"25870236","movie","剧情","category","BELONGS","2015.0"
"26147706","movie","喜剧","category","BELONGS","2015.0"
"26147706","movie","动画","category","BELONGS","2015.0"
"25761178","movie","剧情","category","BELONGS","2014.0"
"25761178","movie","喜剧","category","BELONGS","2014.0"
"25761178","movie","运动","category","BELONGS","2014.0"
"26219652","movie","剧情","category","BELONGS","2015.0"
"26219652","movie","喜剧","category","BELONGS","2015.0"
"25786077","movie","动作","category","BELONGS","2015.0"
"25786077","movie","冒险","category","BELONGS","2015.0"
"25786077","movie","灾难","category","BELONGS","2015.0"
"25958787","movie","剧情","category","BELONGS","2015.0"
"3608742","movie","剧情","category","BELONGS","2015.0"
"3608742","movie","音乐","category","BELONGS","2015.0"
"3608742","movie","传记","category","BELONGS","2015.0"
"11541282","movie","剧情","category","BELONGS","2015.0"
"11541282","movie","喜剧","category","BELONGS","2015.0"
"11541282","movie","音乐","category","BELONGS","2015.0"
"25837175","movie","动作","category","BELONGS","2015.0"
"25837175","movie","惊悚","category","BELONGS","2015.0"
"25837175","movie","犯罪","category","BELONGS","2015.0"
"10463953","movie","剧情","category","BELONGS","2015.0"
"10463953","movie","同性","category","BELONGS","2015.0"
"10463953","movie","传记","category","BELONGS","2015.0"
"10463953","movie","战争","category","BELONGS","2015.0"
"24397586","movie","喜剧","category","BELONGS","2015.0"
"24397586","movie","动画","category","BELONGS","2015.0"
"24397586","movie","冒险","category","BELONGS","2015.0"
"6866928","movie","动作","category","BELONGS","2015.0"
"6866928","movie","科幻","category","BELONGS","2015.0"
"6866928","movie","惊悚","category","BELONGS","2015.0"
"25752261","movie","喜剧","category","BELONGS","2015.0"
"25752261","movie","动作","category","BELONGS","2015.0"
"25752261","movie","犯罪","category","BELONGS","2015.0"
"25773932","movie","剧情","category","BELONGS","2014.0"
"25773932","movie","音乐","category","BELONGS","2014.0"
"23788440","movie","剧情","category","BELONGS","2015.0"
"23788440","movie","动作","category","BELONGS","2015.0"
"23788440","movie","犯罪","category","BELONGS","2015.0"
"24879839","movie","喜剧","category","BELONGS","2015.0"
"24879839","movie","动作","category","BELONGS","2015.0"
"24879839","movie","奇幻","category","BELONGS","2015.0"
"24879839","movie","冒险","category","BELONGS","2015.0"
"24879839","movie","武侠","category","BELONGS","2015.0"
"24879839","movie","古装","category","BELONGS","2015.0"
"25932086","movie","悬疑","category","BELONGS","2014.0"
"25932086","movie","惊悚","category","BELONGS","2014.0"
"25855951","movie","剧情","category","BELONGS","2014.0"
"25855951","movie","喜剧","category","BELONGS","2014.0"
"25855951","movie","音乐","category","BELONGS","2014.0"
"25855951","movie","家庭","category","BELONGS","2014.0"
"3592854","movie","动作","category","BELONGS","2015.0"
"3592854","movie","科幻","category","BELONGS","2015.0"
"3592854","movie","冒险","category","BELONGS","2015.0"
"6039412","movie","剧情","category","BELONGS","2015.0"
"6039412","movie","爱情","category","BELONGS","2015.0"
"6039412","movie","奇幻","category","BELONGS","2015.0"
"25907004","movie","喜剧","category","BELONGS","2014.0"
"25907004","movie","爱情","category","BELONGS","2014.0"
"26366634","movie","喜剧","category","BELONGS","2015.0"
"26366634","movie","情色","category","BELONGS","2015.0"
"4160540","movie","剧情","category","BELONGS","2015.0"
"4160540","movie","科幻","category","BELONGS","2015.0"
"26021055","movie","爱情","category","BELONGS","2015.0"
"10741834","movie","动作","category","BELONGS","2015.0"
"10741834","movie","科幻","category","BELONGS","2015.0"
"10741834","movie","奇幻","category","BELONGS","2015.0"
"10741834","movie","冒险","category","BELONGS","2015.0"
"25809260","movie","喜剧","category","BELONGS","2015.0"
"24753687","movie","剧情","category","BELONGS","2015.0"
"10741643","movie","喜剧","category","BELONGS","2015.0"
"10741643","movie","奇幻","category","BELONGS","2015.0"
"25745752","movie","爱情","category","BELONGS","2015.0"
"25830802","movie","剧情","category","BELONGS","2015.0"
"25830802","movie","爱情","category","BELONGS","2015.0"
"24847343","movie","喜剧","category","BELONGS","2015.0"
"24847343","movie","爱情","category","BELONGS","2015.0"
"21318488","movie","剧情","category","BELONGS","2014.0"
"21318488","movie","悬疑","category","BELONGS","2014.0"
"21318488","movie","惊悚","category","BELONGS","2014.0"
"21318488","movie","犯罪","category","BELONGS","2014.0"
"10755171","movie","剧情","category","BELONGS","2015.0"
"10755171","movie","悬疑","category","BELONGS","2015.0"
"10755171","movie","惊悚","category","BELONGS","2015.0"
"11520649","movie","剧情","category","BELONGS","2015.0"
"11520649","movie","运动","category","BELONGS","2015.0"
"26268587","movie","剧情","category","BELONGS","2015.0"
"26268587","movie","历史","category","BELONGS","2015.0"
"25718082","movie","剧情","category","BELONGS","2015.0"
"25718082","movie","爱情","category","BELONGS","2015.0"
"25718082","movie","家庭","category","BELONGS","2015.0"
"23761370","movie","动作","category","BELONGS","2015.0"
"23761370","movie","犯罪","category","BELONGS","2015.0"
"24405378","movie","喜剧","category","BELONGS","2015.0"
"24405378","movie","动作","category","BELONGS","2015.0"
"24405378","movie","犯罪","category","BELONGS","2015.0"
"24405378","movie","冒险","category","BELONGS","2015.0"
"19957083","movie","喜剧","category","BELONGS","2015.0"
"24716045","movie","剧情","category","BELONGS","2015.0"
"24716045","movie","爱情","category","BELONGS","2015.0"
"25945356","movie","爱情","category","BELONGS","2015.0"
"25945356","movie","奇幻","category","BELONGS","2015.0"
"25945356","movie","古装","category","BELONGS","2015.0"
"21937450","movie","剧情","category","BELONGS","2014.0"
"21937450","movie","家庭","category","BELONGS","2014.0"
"25870084","movie","喜剧","category","BELONGS","2015.0"
"25870084","movie","爱情","category","BELONGS","2015.0"
"25870084","movie","奇幻","category","BELONGS","2015.0"
"25794212","movie","动作","category","BELONGS","2015.0"
"25794212","movie","爱情","category","BELONGS","2015.0"
"25794212","movie","科幻","category","BELONGS","2015.0"
"25794212","movie","冒险","category","BELONGS","2015.0"
"21442760","movie","剧情","category","BELONGS","2015.0"
"21442760","movie","爱情","category","BELONGS","2015.0"
"3104205","movie","剧情","category","BELONGS","2015.0"
"3104205","movie","喜剧","category","BELONGS","2015.0"
"3104205","movie","爱情","category","BELONGS","2015.0"
"25742299","movie","悬疑","category","BELONGS","2015.0"
"25742299","movie","惊悚","category","BELONGS","2015.0"
"21263666","movie","动作","category","BELONGS","2014.0"
"21263666","movie","传记","category","BELONGS","2014.0"
"21263666","movie","战争","category","BELONGS","2014.0"
"25900851","movie","剧情","category","BELONGS","2015.0"
"25900851","movie","音乐","category","BELONGS","2015.0"
"25774050","movie","科幻","category","BELONGS","2014.0"
"25774050","movie","恐怖","category","BELONGS","2014.0"
"26314206","movie","剧情","category","BELONGS","2015.0"
"10827341","movie","喜剧","category","BELONGS","2015.0"
"10827341","movie","科幻","category","BELONGS","2015.0"
"10827341","movie","动画","category","BELONGS","2015.0"
"10827341","movie","冒险","category","BELONGS","2015.0"
"24859095","movie","惊悚","category","BELONGS","2015.0"
"6846893","movie","动作","category","BELONGS","2015.0"
"6846893","movie","科幻","category","BELONGS","2015.0"
"6846893","movie","惊悚","category","BELONGS","2015.0"
"25799475","movie","惊悚","category","BELONGS","2015.0"
"1889243","movie","剧情","category","BELONGS","2014.0"
"1889243","movie","科幻","category","BELONGS","2014.0"
"1889243","movie","悬疑","category","BELONGS","2014.0"
"1889243","movie","家庭","category","BELONGS","2014.0"
"1889243","movie","冒险","category","BELONGS","2014.0"
"25823833","movie","动作","category","BELONGS","2015.0"
"25823833","movie","战争","category","BELONGS","2015.0"
"25823833","movie","古装","category","BELONGS","2015.0"
"25811357","movie","喜剧","category","BELONGS","2015.0"
"25811357","movie","犯罪","category","BELONGS","2015.0"
"2973079","movie","动作","category","BELONGS","2015.0"
"2973079","movie","奇幻","category","BELONGS","2015.0"
"2973079","movie","冒险","category","BELONGS","2015.0"
"10792633","movie","剧情","category","BELONGS","2015.0"
"10792633","movie","传记","category","BELONGS","2015.0"
"10792633","movie","历史","category","BELONGS","2015.0"
"10792633","movie","战争","category","BELONGS","2015.0"
"10754780","movie","剧情","category","BELONGS","2014.0"
"10754780","movie","音乐","category","BELONGS","2014.0"
"10440138","movie","动作","category","BELONGS","2015.0"
"10440138","movie","科幻","category","BELONGS","2015.0"
"10440138","movie","冒险","category","BELONGS","2015.0"
"2998373","movie","喜剧","category","BELONGS","2015.0"
"2998373","movie","家庭","category","BELONGS","2015.0"
"11026735","movie","喜剧","category","BELONGS","2015.0"
"11026735","movie","动作","category","BELONGS","2015.0"
"11026735","movie","科幻","category","BELONGS","2015.0"
"11026735","movie","动画","category","BELONGS","2015.0"
"11026735","movie","冒险","category","BELONGS","2015.0"
"24987018","movie","剧情","category","BELONGS","2015.0"
"24987018","movie","动作","category","BELONGS","2015.0"
"24987018","movie","悬疑","category","BELONGS","2015.0"
"24987018","movie","犯罪","category","BELONGS","2015.0"
"25858759","movie","爱情","category","BELONGS","2015.0"
"25800938","movie","剧情","category","BELONGS","2015.0"
"25800938","movie","喜剧","category","BELONGS","2015.0"
"21349734","movie","喜剧","category","BELONGS","2015.0"
"21349734","movie","奇幻","category","BELONGS","2015.0"
"21349734","movie","冒险","category","BELONGS","2015.0"
"2363942","movie","剧情","category","BELONGS","2015.0"
"2363942","movie","悬疑","category","BELONGS","2015.0"
"2363942","movie","历史","category","BELONGS","2015.0"
"25872931","movie","喜剧","category","BELONGS","2015.0"
"25872931","movie","爱情","category","BELONGS","2015.0"
"21767183","movie","剧情","category","BELONGS","2014.0"
"26279166","movie","喜剧","category","BELONGS","2015.0"
"26279166","movie","爱情","category","BELONGS","2015.0"
"26279166","movie","情色","category","BELONGS","2015.0"
"24753810","movie","动作","category","BELONGS","2015.0"
"24753810","movie","战争","category","BELONGS","2015.0"
"5153254","movie","喜剧","category","BELONGS","2014.0"
"5153254","movie","爱情","category","BELONGS","2014.0"
"24307637","movie","剧情","category","BELONGS","2015.0"
"24307637","movie","动作","category","BELONGS","2015.0"
"2325873","movie","奇幻","category","BELONGS","2015.0"
"2325873","movie","冒险","category","BELONGS","2015.0"
"25898213","movie","剧情","category","BELONGS","2015.0"
"25898213","movie","冒险","category","BELONGS","2015.0"
"6126442","movie","喜剧","category","BELONGS","2014.0"
"6126442","movie","爱情","category","BELONGS","2014.0"
"6126442","movie","冒险","category","BELONGS","2014.0"
"25821585","movie","喜剧","category","BELONGS","2015.0"
"25861695","movie","喜剧","category","BELONGS","2014.0"
"25834945","movie","剧情","category","BELONGS","2014.0"
"6875263","movie","爱情","category","BELONGS","2015.0"
"6875263","movie","奇幻","category","BELONGS","2015.0"
"6875263","movie","冒险","category","BELONGS","2015.0"
"25908042","movie","喜剧","category","BELONGS","2015.0"
"25908042","movie","动作","category","BELONGS","2015.0"
"25908042","movie","冒险","category","BELONGS","2015.0"
"21345845","movie","剧情","category","BELONGS","2014.0"
"21345845","movie","传记","category","BELONGS","2014.0"
"25945408","movie","惊悚","category","BELONGS","2015.0"
"25881780","movie","喜剧","category","BELONGS","2015.0"
"25881780","movie","爱情","category","BELONGS","2015.0"
"26259634","movie","爱情","category","BELONGS","2015.0"
"11540651","movie","剧情","category","BELONGS","2015.0"
"11540651","movie","家庭","category","BELONGS","2015.0"
"24883815","movie","剧情","category","BELONGS","2014.0"
"24883815","movie","喜剧","category","BELONGS","2014.0"
"24883815","movie","爱情","category","BELONGS","2014.0"
"24872023","movie","喜剧","category","BELONGS","2015.0"
"24872023","movie","动作","category","BELONGS","2015.0"
"10807909","movie","动作","category","BELONGS","2014.0"
"10807909","movie","战争","category","BELONGS","2014.0"
"10807909","movie","冒险","category","BELONGS","2014.0"
"5154799","movie","动作","category","BELONGS","2015.0"
"5154799","movie","科幻","category","BELONGS","2015.0"
"5154799","movie","冒险","category","BELONGS","2015.0"
"25780584","movie","剧情","category","BELONGS","2015.0"
"25780584","movie","爱情","category","BELONGS","2015.0"
"25947154","movie","喜剧","category","BELONGS","2014.0"
"25947154","movie","爱情","category","BELONGS","2014.0"
"25731554","movie","动作","category","BELONGS","2015.0"
"25731554","movie","西部","category","BELONGS","2015.0"
"25746414","movie","喜剧","category","BELONGS","2015.0"
"25746414","movie","动作","category","BELONGS","2015.0"
"25746414","movie","爱情","category","BELONGS","2015.0"
"25746414","movie","悬疑","category","BELONGS","2015.0"
"25890082","movie","恐怖","category","BELONGS","2015.0"
"25890082","movie","奇幻","category","BELONGS","2015.0"
"24713882","movie","喜剧","category","BELONGS","2015.0"
"24713882","movie","音乐","category","BELONGS","2015.0"
"6533054","movie","动作","category","BELONGS","2015.0"
"6533054","movie","科幻","category","BELONGS","2015.0"
"6533054","movie","冒险","category","BELONGS","2015.0"
"25862355","movie","剧情","category","BELONGS","2015.0"
"25862355","movie","喜剧","category","BELONGS","2015.0"
"25835293","movie","剧情","category","BELONGS","2015.0"
"10548265","movie","剧情","category","BELONGS","2015.0"
"10548265","movie","传记","category","BELONGS","2015.0"
"10548265","movie","战争","category","BELONGS","2015.0"
"10548265","movie","运动","category","BELONGS","2015.0"
"26184109","movie","剧情","category","BELONGS","2014.0"
"25938856","movie","喜剧","category","BELONGS","2015.0"
"4911596","movie","喜剧","category","BELONGS","2015.0"
"25713420","movie","动作","category","BELONGS","2015.0"
"25713420","movie","爱情","category","BELONGS","2015.0"
"25713420","movie","奇幻","category","BELONGS","2015.0"
"3078390","movie","剧情","category","BELONGS","2014.0"
"3078390","movie","爱情","category","BELONGS","2014.0"
"3078390","movie","战争","category","BELONGS","2014.0"
"23712710","movie","剧情","category","BELONGS","2015.0"
"23769147","movie","剧情","category","BELONGS","2015.0"
"23769147","movie","喜剧","category","BELONGS","2015.0"
"23769147","movie","爱情","category","BELONGS","2015.0"
"25805054","movie","喜剧","category","BELONGS","2014.0"
"25805054","movie","动画","category","BELONGS","2014.0"
"25805054","movie","奇幻","category","BELONGS","2014.0"
"11808948","movie","喜剧","category","BELONGS","2015.0"
"11808948","movie","动画","category","BELONGS","2015.0"
"11808948","movie","冒险","category","BELONGS","2015.0"
"23331914","movie","剧情","category","BELONGS","2014.0"
"23331914","movie","动作","category","BELONGS","2014.0"
"23331914","movie","战争","category","BELONGS","2014.0"
"25919385","movie","喜剧","category","BELONGS","2015.0"
"25919385","movie","爱情","category","BELONGS","2015.0"
"25919385","movie","家庭","category","BELONGS","2015.0"
"20277632","movie","动作","category","BELONGS","2015.0"
"20277632","movie","惊悚","category","BELONGS","2015.0"
"20277632","movie","犯罪","category","BELONGS","2015.0"
"25777512","movie","惊悚","category","BELONGS","2014.0"
"25777512","movie","恐怖","category","BELONGS","2014.0"
"25957011","movie","剧情","category","BELONGS","2014.0"
"25905746","movie","惊悚","category","BELONGS","2015.0"
"25905746","movie","恐怖","category","BELONGS","2015.0"
"24743709","movie","剧情","category","BELONGS","2015.0"
"24743709","movie","爱情","category","BELONGS","2015.0"
"24695390","movie","剧情","category","BELONGS","2014.0"
"24695390","movie","喜剧","category","BELONGS","2014.0"
"3012013","movie","动作","category","BELONGS","2014.0"
"3012013","movie","惊悚","category","BELONGS","2014.0"
"3012013","movie","犯罪","category","BELONGS","2014.0"
"20277433","movie","剧情","category","BELONGS","2015.0"
"20277433","movie","喜剧","category","BELONGS","2015.0"
"20277433","movie","犯罪","category","BELONGS","2015.0"
"25755608","movie","剧情","category","BELONGS","2014.0"
"25755608","movie","悬疑","category","BELONGS","2014.0"
"25755608","movie","同性","category","BELONGS","2014.0"
"25806476","movie","动作","category","BELONGS","2015.0"
"25806476","movie","悬疑","category","BELONGS","2015.0"
"25806476","movie","惊悚","category","BELONGS","2015.0"
"25806476","movie","历史","category","BELONGS","2015.0"
"3006769","movie","剧情","category","BELONGS","2014.0"
"3006769","movie","传记","category","BELONGS","2014.0"
"21349301","movie","剧情","category","BELONGS","2014.0"
"21349301","movie","喜剧","category","BELONGS","2014.0"
"21349301","movie","爱情","category","BELONGS","2014.0"
"25884416","movie","喜剧","category","BELONGS","2014.0"
"25884416","movie","动画","category","BELONGS","2014.0"
"25884416","movie","家庭","category","BELONGS","2014.0"
"25761564","movie","喜剧","category","BELONGS","2015.0"
"25761564","movie","爱情","category","BELONGS","2015.0"
"25761564","movie","同性","category","BELONGS","2015.0"
"25761564","movie","家庭","category","BELONGS","2015.0"
"26140241","movie","喜剧","category","BELONGS","2015.0"
"26140241","movie","爱情","category","BELONGS","2015.0"
"7003416","movie","剧情","category","BELONGS","2015.0"
"7003416","movie","爱情","category","BELONGS","2015.0"
"25779218","movie","爱情","category","BELONGS","2014.0"
"3089638","movie","剧情","category","BELONGS","2014.0"
"3089638","movie","传记","category","BELONGS","2014.0"
"3089638","movie","历史","category","BELONGS","2014.0"
"10793610","movie","剧情","category","BELONGS","2014.0"
"10793610","movie","动作","category","BELONGS","2014.0"
"10793610","movie","冒险","category","BELONGS","2014.0"
"10546762","movie","音乐","category","BELONGS","2014.0"
"10546762","movie","奇幻","category","BELONGS","2014.0"
"10546762","movie","冒险","category","BELONGS","2014.0"
"26356488","movie","剧情","category","BELONGS","2015.0"
"26356488","movie","战争","category","BELONGS","2015.0"
"25919529","movie","喜剧","category","BELONGS","2014.0"
"26383523","movie","喜剧","category","BELONGS","2015.0"
"26383523","movie","爱情","category","BELONGS","2015.0"
"3319744","movie","剧情","category","BELONGS","2014.0"
"3319744","movie","爱情","category","BELONGS","2014.0"
"3319744","movie","战争","category","BELONGS","2014.0"
"24751757","movie","喜剧","category","BELONGS","2014.0"
"24751757","movie","爱情","category","BELONGS","2014.0"
"25798854","movie","剧情","category","BELONGS","2014.0"
"25845383","movie","爱情","category","BELONGS","2014.0"
"25728008","movie","恐怖","category","BELONGS","2015.0"
"10508874","movie","爱情","category","BELONGS","2014.0"
"10508874","movie","惊悚","category","BELONGS","2014.0"
"10508874","movie","情色","category","BELONGS","2014.0"
"25838216","movie","剧情","category","BELONGS","2014.0"
"25838216","movie","爱情","category","BELONGS","2014.0"
"21349345","movie","动作","category","BELONGS","2014.0"
"21349345","movie","科幻","category","BELONGS","2014.0"
"21977761","movie","剧情","category","BELONGS","2015.0"
"21977761","movie","动作","category","BELONGS","2015.0"
"21977761","movie","悬疑","category","BELONGS","2015.0"
"21977761","movie","惊悚","category","BELONGS","2015.0"
"21977761","movie","犯罪","category","BELONGS","2015.0"
"20283482","movie","喜剧","category","BELONGS","2014.0"
"20283482","movie","爱情","category","BELONGS","2014.0"
"20283482","movie","动画","category","BELONGS","2014.0"
"20283482","movie","奇幻","category","BELONGS","2014.0"
"20283482","movie","冒险","category","BELONGS","2014.0"
"25853073","movie","爱情","category","BELONGS","2014.0"
"10546665","movie","剧情","category","BELONGS","2015.0"
"10546665","movie","悬疑","category","BELONGS","2015.0"
"10546665","movie","惊悚","category","BELONGS","2015.0"
"25818615","movie","剧情","category","BELONGS","2014.0"
"25818615","movie","犯罪","category","BELONGS","2014.0"
"5432221","movie","剧情","category","BELONGS","2014.0"
"5432221","movie","喜剧","category","BELONGS","2014.0"
"5432221","movie","犯罪","category","BELONGS","2014.0"
"24743712","movie","喜剧","category","BELONGS","2015.0"
"24743712","movie","爱情","category","BELONGS","2015.0"
"24845116","movie","剧情","category","BELONGS","2014.0"
"24845116","movie","动作","category","BELONGS","2014.0"
"26310932","movie","惊悚","category","BELONGS","2015.0"
"10440069","movie","剧情","category","BELONGS","2015.0"
"10440069","movie","喜剧","category","BELONGS","2015.0"
"10440069","movie","音乐","category","BELONGS","2015.0"
"25809101","movie","剧情","category","BELONGS","2015.0"
"25809101","movie","喜剧","category","BELONGS","2015.0"
"25819726","movie","动作","category","BELONGS","2015.0"
"25819726","movie","犯罪","category","BELONGS","2015.0"
"22637441","movie","剧情","category","BELONGS","2014.0"
"22637441","movie","历史","category","BELONGS","2014.0"
"11810348","movie","喜剧","category","BELONGS","2014.0"
"11810348","movie","动画","category","BELONGS","2014.0"
"11810348","movie","冒险","category","BELONGS","2014.0"
"26588820","movie","动作","category","BELONGS","2015.0"
"26588820","movie","科幻","category","BELONGS","2015.0"
"26588820","movie","动画","category","BELONGS","2015.0"
"25788954","movie","剧情","category","BELONGS","2014.0"
"25788954","movie","喜剧","category","BELONGS","2014.0"
"25788954","movie","奇幻","category","BELONGS","2014.0"
"6858224","movie","恐怖","category","BELONGS","2015.0"
"25856577","movie","剧情","category","BELONGS","2015.0"
"26271893","movie","喜剧","category","BELONGS","2015.0"
"25772380","movie","剧情","category","BELONGS","2014.0"
"25772380","movie","爱情","category","BELONGS","2014.0"
"25772380","movie","冒险","category","BELONGS","2014.0"
"23767433","movie","科幻","category","BELONGS","2014.0"
"23767433","movie","惊悚","category","BELONGS","2014.0"
"21348445","movie","惊悚","category","BELONGS","2014.0"
"21348445","movie","恐怖","category","BELONGS","2014.0"
"25774051","movie","科幻","category","BELONGS","2015.0"
"25774051","movie","恐怖","category","BELONGS","2015.0"
"4881607","movie","喜剧","category","BELONGS","2014.0"
"4881607","movie","爱情","category","BELONGS","2014.0"
"25871647","movie","剧情","category","BELONGS","2015.0"
"25798131","movie","动作","category","BELONGS","2014.0"
"25798131","movie","惊悚","category","BELONGS","2014.0"
"6516595","movie","惊悚","category","BELONGS","2014.0"
"26361257","movie","动作","category","BELONGS","2015.0"
"26361257","movie","科幻","category","BELONGS","2015.0"
"26361257","movie","动画","category","BELONGS","2015.0"
"20253940","movie","动作","category","BELONGS","2015.0"
"20253940","movie","古装","category","BELONGS","2015.0"
"26356495","movie","剧情","category","BELONGS","2015.0"
"26356495","movie","爱情","category","BELONGS","2015.0"
"26356495","movie","传记","category","BELONGS","2015.0"
"26356495","movie","战争","category","BELONGS","2015.0"
"22994771","movie","悬疑","category","BELONGS","2015.0"
"22994771","movie","惊悚","category","BELONGS","2015.0"
"25767613","movie","喜剧","category","BELONGS","2015.0"
"25767613","movie","爱情","category","BELONGS","2015.0"
"25824853","movie","喜剧","category","BELONGS","2015.0"
"25824853","movie","动作","category","BELONGS","2015.0"
"4845723","movie","剧情","category","BELONGS","2014.0"
"4845723","movie","惊悚","category","BELONGS","2014.0"
"4845723","movie","恐怖","category","BELONGS","2014.0"
"25892603","movie","剧情","category","BELONGS","2014.0"
"25892603","movie","悬疑","category","BELONGS","2014.0"
"25892603","movie","惊悚","category","BELONGS","2014.0"
"25892603","movie","犯罪","category","BELONGS","2014.0"
"25742242","movie","爱情","category","BELONGS","2014.0"
"25742242","movie","悬疑","category","BELONGS","2014.0"
"25856626","movie","剧情","category","BELONGS","2015.0"
"25856626","movie","犯罪","category","BELONGS","2015.0"
"25790755","movie","爱情","category","BELONGS","2015.0"
"25790755","movie","犯罪","category","BELONGS","2015.0"
"24723061","movie","动作","category","BELONGS","2014.0"
"24723061","movie","动画","category","BELONGS","2014.0"
"24723061","movie","奇幻","category","BELONGS","2014.0"
"24723061","movie","冒险","category","BELONGS","2014.0"
"25834457","movie","剧情","category","BELONGS","2014.0"
"25834457","movie","家庭","category","BELONGS","2014.0"
"25827399","movie","喜剧","category","BELONGS","2015.0"
"25827399","movie","动作","category","BELONGS","2015.0"
"4154632","movie","动作","category","BELONGS","2015.0"
"4154632","movie","动画","category","BELONGS","2015.0"
"4154632","movie","奇幻","category","BELONGS","2015.0"
"25880244","movie","喜剧","category","BELONGS","2015.0"
"25880244","movie","爱情","category","BELONGS","2015.0"
"25880244","movie","家庭","category","BELONGS","2015.0"
"25834473","movie","喜剧","category","BELONGS","2014.0"
"25834473","movie","爱情","category","BELONGS","2014.0"
"25831308","movie","爱情","category","BELONGS","2014.0"
"25984795","movie","剧情","category","BELONGS","2015.0"
"25984795","movie","悬疑","category","BELONGS","2015.0"
"25750177","movie","剧情","category","BELONGS","2014.0"
"25750177","movie","喜剧","category","BELONGS","2014.0"
"26378296","movie","情色","category","BELONGS","2015.0"
"26382849","movie","喜剧","category","BELONGS","2015.0"
"26382849","movie","爱情","category","BELONGS","2015.0"
"3317370","movie","喜剧","category","BELONGS","2015.0"
"25824741","movie","剧情","category","BELONGS","2014.0"
"25824741","movie","喜剧","category","BELONGS","2014.0"
"26220731","movie","喜剧","category","BELONGS","2015.0"
"26220731","movie","动画","category","BELONGS","2015.0"
"26220731","movie","家庭","category","BELONGS","2015.0"
"26220731","movie","冒险","category","BELONGS","2015.0"
"24742719","movie","剧情","category","BELONGS","2014.0"
"24742719","movie","动作","category","BELONGS","2014.0"
"24742719","movie","惊悚","category","BELONGS","2014.0"
"24742719","movie","犯罪","category","BELONGS","2014.0"
"25835306","movie","喜剧","category","BELONGS","2015.0"
"25743833","movie","剧情","category","BELONGS","2014.0"
"25723095","movie","剧情","category","BELONGS","2014.0"
"26087473","movie","剧情","category","BELONGS","2014.0"
"26087473","movie","动画","category","BELONGS","2014.0"
"24843623","movie","剧情","category","BELONGS","2015.0"
"24843623","movie","战争","category","BELONGS","2015.0"
"24530939","movie","剧情","category","BELONGS","2015.0"
"24530939","movie","动作","category","BELONGS","2015.0"
"24530939","movie","悬疑","category","BELONGS","2015.0"
"24530939","movie","惊悚","category","BELONGS","2015.0"
"24530939","movie","犯罪","category","BELONGS","2015.0"
"25836152","movie","剧情","category","BELONGS","2014.0"
"25820655","movie","喜剧","category","BELONGS","2014.0"
"25820655","movie","家庭","category","BELONGS","2014.0"
"7059561","movie","喜剧","category","BELONGS","2014.0"
"7059561","movie","犯罪","category","BELONGS","2014.0"
"7059561","movie","冒险","category","BELONGS","2014.0"
"26274132","movie","科幻","category","BELONGS","2015.0"
"26274132","movie","冒险","category","BELONGS","2015.0"
"24695277","movie","动作","category","BELONGS","2014.0"
"24695277","movie","惊悚","category","BELONGS","2014.0"
"25444447","movie","剧情","category","BELONGS","2014.0"
"25444447","movie","动作","category","BELONGS","2014.0"
"25444447","movie","爱情","category","BELONGS","2014.0"
"25444447","movie","武侠","category","BELONGS","2014.0"
"21359619","movie","喜剧","category","BELONGS","2014.0"
"21359619","movie","爱情","category","BELONGS","2014.0"
"20453001","movie","剧情","category","BELONGS","2015.0"
"24743119","movie","剧情","category","BELONGS","2014.0"
"6053684","movie","惊悚","category","BELONGS","2015.0"
"6053684","movie","恐怖","category","BELONGS","2015.0"
"25913617","movie","剧情","category","BELONGS","2015.0"
"25812885","movie","恐怖","category","BELONGS","2014.0"
"25958197","movie","喜剧","category","BELONGS","2015.0"
